Caso,Δt,error,mu_mx,K_N,Y_NB,bet_mx,K_S,Y_SE,err_q.global,pRMSD.C_B,pRMSD.C_N,pRMSD.C_S,pRMSD.C_E,npRMSD.C_B,npRMSD.C_N,npRMSD.C_S,npRMSD.C_E,Regr_P.C_B,Regr_P.C_N,Regr_P.C_S,Regr_P.C_E,LackAdj_P.C_B,LackAdj_P.C_N,LackAdj_P.C_S,LackAdj_P.C_E,scal.mu_mx,scal.K_N,scal.Y_NB,scal.bet_mx,scal.K_S,scal.Y_SE,Solver,Slvr.ID,DEoptim.itmx,Slvr.Msg,Slvr.FuncEvs,n_iter/n_EvalFnc,t_com [s],CAS Notas
EM24e005,24,005,0.10687578583382,0.0001,0.0331915878010254,0.59506603381023,10.5138236777878,1.78256351605183,90.1220215305497,0.0471974211123979,0.0011992023098952,3.3968146314567,1.42887140942153,0.0228859669856424,0.013557281468555,0.0307903460936458,0.0229834474303865,0.0117621752175008,0.999999833871112,0.0010914605008003,0.0113208815075512,0.67263235669061,0.999999999224956,0.396444750829792,0.66815809937635,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,88,1144,280.327,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM24e010,24,010,0.109801597015732,0.0001,0.0317946461563956,0.532400653099396,9.85561877856094,1.86331412300573,424.129620020501,0.119050561541463,0.0032070768769614,6.64506072034273,4.0288860613612,0.0563670637959115,0.0346225636560732,0.0554552921967555,0.0604537386023778,6.144335434660671e-09,0.410124882001647,0.0003808027197148,9.03180297006922e-06,0.0008256703890657,0.977891492460861,0.290998210072009,0.0667612541004639,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,98,1274,313.939,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM24e015,24,015,0.100292498635632,0.0001000000000001,0.0336422296548239,0.614963943657782,10.0623406631958,1.59197956540408,1182.42137556291,0.124192631059603,0.0035313034223764,12.8193968280095,4.49975183271346,0.0565766926928355,0.0387784703210536,0.102868501951156,0.0683462429241703,2.21008782704259e-08,0.0082767367003963,1.64367038795018e-06,0.0005547878823737,0.0020264342193708,0.631211631028195,0.0283236839465818,0.326737817997454,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,80,1040,254.303,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM24e020,24,020,0.114631440861885,0.0001,0.0274178497133572,0.455839901488055,10.4652731333109,1.60141759968693,1069.90516216105,0.224041575445396,0.0038724374233044,11.6738479424545,5.19546292628042,0.0930736461019167,0.0391388780721313,0.0856635063590089,0.0777382680465181,1.82064501628573e-06,0.0025448447371343,3.83208667202719e-07,5.27787153447538e-05,0.0299134803895603,0.491532470666674,0.0124800213948056,0.143698993429569,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,81,1053,257.494,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM24e025,24,025,0.254113266008198,0.1,0.0334270069210157,0.406292814081198,0.01,2.13678926735202,2166.52420483608,0.250154657847431,0.0054671184544786,14.3153855050907,11.2341062735392,0.107139324905443,0.0542480428486583,0.114314185515863,0.15052629232704,2.35377011074629e-07,0.0204938282142179,1.81241645611827e-08,1.33852035189945e-06,0.0093260130905952,0.736207813569725,0.0017687363184532,0.0253514377791041,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,76,988,242.801,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM36e005,36,005,0.111324821440596,0.0054124794443833,0.0331293591661875,0.613181753344446,10.8912699154174,1.79218774009376,39.7680799524741,0.0629780619003084,0.0016235336342676,2.58676773685793,1.12855052980871,0.0251010623959288,0.018253596821377,0.0225554960186294,0.0181900548347177,0.0096036380329665,0.0013369852330569,0.506327826284526,0.0264469526659233,0.14958669283767,0.0447039694969687,0.84058876924059,0.255875036987175,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,86,1118,233.147,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM36e010,36,010,0.105370355397386,0.0038822853048142,0.0358669574421332,0.669122169434502,7.7239011678069,1.71564516477252,214.227944718509,0.196309833721858,0.0020722298804145,6.7136632653005,2.77875930173725,0.0733511373377546,0.0243776686002514,0.0561700235806889,0.0444486471014472,1.81753967082988e-06,0.0081830925074621,0.622000464018905,0.0002521946952116,0.0002426264581204,0.136677452017895,0.891094830720778,0.0138751953291441,1,1000,100,1,1,1,L-BFGS-B,1,,ERROR: ABNORMAL_TERMINATION_IN_LNSRCH,106,1378,285.915,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM36e015,36,015,0.101964255725494,0.0001,0.0384145217152386,1.07597723070561,65.1820047543002,1.9975598312344,426.487532414363,0.171234675956773,0.0048302290244516,7.70463491724542,5.56849851332364,0.0804552137590068,0.0500669528926351,0.063368853553124,0.0831995735453778,6.22331901767889e-06,7.01536044604726e-05,0.0056245335979698,0.0325738129375726,0.0007102634485721,0.0052304368350801,0.110016956941699,0.283589041677957,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,97,1261,260.39,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM36e020,36,020,0.110798556689683,0.0063558643729267,0.0284167714304835,0.408223081405729,0.01,1.79432510618619,906.163527870744,0.284095264418158,0.0030748467950798,13.064337906393,7.8378115292027,0.105412347491285,0.0323019498760897,0.0929207026367222,0.111226268922624,0.0011849476715797,0.0467927291635069,0.66279390880613,5.37643476373179e-05,0.0412503514545088,0.336945387327521,0.906509609897317,0.0042380634602653,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,145,1885,392.538,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM36e025,36,025,0.111341811822262,0.0087854286710692,0.0305375237848044,0.834300223309282,65.9846819890125,2.43408231254097,1599.60855904971,0.316644688816566,0.0065865868870497,14.5227654510089,13.1212871086881,0.112588773520985,0.0623764550640016,0.117992014861563,0.181747577381482,0.0006042637550996,0.0446316294602834,0.0121835154252463,0.0001197608236737,0.0260114179935831,0.329600257826636,0.170603863524476,0.0079231748904537,1,1000,100,1,1,1,L-BFGS-B,1,,NEW_X,148,1924,400.599,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM48e005,48,005,0.0827920461461153,0.0061108782256082,0.0343431065282644,0.893988954214941,7.31795834039356,2.04438833046983,591.033811793087,0.0421242347660511,0.0026156137209898,13.5204727469691,2.71383081778795,0.0201227663191628,0.0299163201534015,0.11807017687746,0.0431748598597305,0.0143501688822569,5.98843401198651e-05,2.15031841692703e-08,0.0011695746701364,0.069928575899176,0.0006838606264557,3.27878377069793e-07,0.0094924298076488,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,52,676,139.004,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM48e010,48,010,0.123097574336961,0.0123957369714224,0.0312208349781984,0.590391149532464,14.6391294680478,1.77084666625819,119.852936477281,0.0995505354177106,0.0025025638639526,4.54617151335892,3.60701638402448,0.0445701048761741,0.0272478002054818,0.0412263195449262,0.0579133313793817,0.222322719244139,0.922045642022231,0.375325940400628,0.217004633487231,0.439528242746089,0.960034442065249,0.59457075462093,0.433256427690893,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,44,572,117.967,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM48e015,48,015,0.119216317236732,0.0102226453330236,0.0295131884382218,1.06149741467342,80.516740893284,1.84947969852193,211.766455274486,0.121110335551468,0.0030123356691863,6.5235704467137,4.35235719517167,0.0529549128499116,0.031568811609905,0.0520674514948311,0.0687419349421333,0.316683840865147,0.0892640161251158,0.641757428773089,0.111240173761264,0.540045634580197,0.249623299501562,0.796190204252205,0.287398507860785,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,105,1365,281.332,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM48e020,48,020,0.159601385541729,0.0046884262383131,0.0296191183583659,0.44958026801109,8.24896264511814,1.86166777293789,588.388795108391,0.137396187116772,0.0007464710477461,13.0555789364596,5.01052494914233,0.0642845308167992,0.0085613588345599,0.10052671814127,0.0693501954964052,0.153047771798901,0.0025004840625333,0.688874208509301,0.681536745257123,0.350776706621238,0.0178468339733227,0.826390844803938,0.821770161572785,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,72,936,193.531,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM48e025,48,025,0.0510897299466896,0.0050513966856196,0.0305290403893875,2.59909261551222,7.80145191785131,1.79673198874919,5879.20252061822,0.725223461583971,0.0343703142438388,26.3881546109521,9.03078177559579,0.319572919886527,0.404331651735073,0.194467839600238,0.122815159794144,1.02143055171377e-06,6.782633354654179e-11,0.0014734702901431,0.0684970538911337,1.44198960242347e-05,1.07285278754701e-09,0.0115252019186919,0.209923640537733,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,71,923,189.478,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
